
shrey,1984,G. Orw,345678,1949,1741522159,1741522266
shrey,1984,G. Orw,345678,1949,1741522840,1741522876
shrey,1984,G. Orw,345678,1949,1741522948,1741523011
shrey,1984,G. Orw,345678,1949,1741523295,1741523322
shrey,1984,G. Orw,345678,1949,1741524961,1741525000
shrey,1984,G. Orw,345678,1949,1741525203,1741525221
dhruv,1984,G. Orw,345678,1949,1741525227,1741527129
shrey,It,S. King,234567,1986,1741525305,1741525523
dhruv,It,S. King,234567,1986,1741525529,1741527116
shrey,1984,G. Orw,345678,1949,1741525725,1741525777
shrey,It,S. King,234567,1986,1741525728,1741525771
dhruv,1984,G. Orw,345678,1949,1741525782,1741527129
dhruv,It,S. King,234567,1986,1741525782,1741527116
dhruv,1984,G. Orw,345678,1949,1741525785,1741527129
dhruv,It,S. King,234567,1986,1741525785,1741527116
dhruv,1984,G. Orw,345678,1949,1741526204,1741527129
dhruv,It,S. King,234567,1986,1741526204,1741527116
dhruv,1984,G. Orw,345678,1949,1741526207,1741527129
dhruv,1984,G. Orw,345678,1949,1741526428,1741527129
dhruv,It,S. King,234567,1986,1741526428,1741527116
dhruv,1984,G. Orw,345678,1949,1741526432,1741527129
dhruv,1984,G. Orw,345678,1949,1741526780,1741527129
dhruv,It,S. King,234567,1986,1741526780,1741527116
dhruv,1984,G. Orw,345678,1949,1741526870,1741527129
dhruv,It,S. King,234567,1986,1741526870,1741527116
dhruv,1984,G. Orw,345678,1949,1741526935,1741527129
dhruv,It,S. King,234567,1986,1741526935,1741527116
dhruv,1984,G. Orw,345678,1949,1741527224,1741527289
